Date, Display Spend ,Paid Search Spend,Facebook Spend, National TV Spend ,YouTube Spend,Retail Sales,Brand Awareness
1/1/17,"1,835 ","3,983 ",458 ,"49,143 ",0 ," 1,308 ", 0.28 
1/8/17,"2,743 ","2,120 ",767 ,"89,580 ",0 ," 1,036 ", 0.28 
1/15/17,"3,472 ","2,819 ",778 ,"95,543 ","1,714 "," 1,370 ", 0.28 
1/22/17,"4,736 ","6,583 ",735 ,"49,630 ","2,168 "," 2,381 ", 0.28 
1/29/17,"3,555 ","9,446 ",0 ,"83,287 ","4,190 "," 2,964 ", 0.27 
2/5/17,"3,717 ","1,587 ",0 ,"38,927 ","4,754 "," 1,134 ", 0.27 
2/12/17,"2,044 ","1,089 ",584 ,"79,655 ","1,523 "," 1,023 ", 0.27 
2/19/17,"2,658 ","4,984 ",164 ,"27,047 ","4,678 "," 1,808 ", 0.27 
2/26/17,"1,835 ","9,069 ",345 ,"26,516 ","3,200 "," 2,608 ", 0.22 
3/5/17,"2,477 ","3,043 ",484 ,"24,693 ","1,043 "," 1,194 ", 0.22 
3/12/17,"5,087 ","7,091 ",810 ,"38,579 ","4,748 "," 2,626 ", 0.22 
3/19/17,"4,468 ","9,288 ",122 ,"39,493 ","1,750 "," 2,900 ", 0.22 
3/26/17,"4,923 ","1,868 ",902 ,0 ,0 ," 1,196 ", 0.22 
4/2/17,"1,745 ","4,398 ",0 ,0 ,0 ," 1,279 ", 0.20 
4/9/17,"3,557 ","3,620 ",0 ,0 ,0 ," 1,355 ", 0.20 
4/16/17,"2,945 ","6,616 ",0 ,0 ,0 ," 1,926 ", 0.20 
4/23/17,"1,725 ","2,174 ",0 ,0 ,0 ," 1,432 ", 0.20 
4/30/17,"6,954 ","5,624 ",592 ,0 ,0 ," 2,209 ", 0.24 
5/7/17,"2,091 ","2,989 ",415 ,"78,946 ","4,375 "," 1,233 ", 0.24 
5/14/17,"4,051 ","1,025 ",998 ,"53,997 ","4,441 "," 1,053 ", 0.24 
5/21/17,"1,825 ","3,503 ",919 ,"50,522 ","4,171 "," 1,430 ", 0.24 
5/28/17,"4,332 ","6,025 ",411 ,"27,634 ",213 ," 2,069 ", 0.25 
6/4/17,"1,000 ","2,276 ",683 ,"54,865 ",560 ," 1,102 ", 0.25 
6/11/17,"2,392 ","8,883 ",463 ,"73,917 ",481 ," 2,519 ", 0.25 
6/18/17,"3,137 ","4,062 ",881 ,"56,799 ","2,374 "," 1,630 ", 0.25 
6/25/17,"1,504 ","2,860 ",837 ,"26,837 ","1,540 "," 1,106 ", 0.25 
7/2/17,"2,105 ","3,953 ",381 ,0 ,"4,149 "," 1,462 ", 0.23 
7/9/17,"8,508 ","4,073 ",85 ,0 ,"4,094 "," 2,252 ", 0.23 
7/16/17,"4,397 ","1,890 ",163 ,0 ,"2,096 "," 1,121 ", 0.23 
7/23/17,"4,618 ","9,641 ",393 ,0 ,0 ," 2,932 ", 0.23 
7/30/17,"3,898 ","1,288 ",0 ,0 ,0 ," 1,008 ", 0.27 
8/6/17,"4,451 ","3,509 ",0 ,0 ,0 ," 1,397 ", 0.27 
8/13/17,"3,073 ","6,691 ",0 ,"78,850 ",0 ," 2,058 ", 0.27 
8/20/17,"1,595 ","8,386 ",0 ,"13,070 ",0 ," 2,220 ", 0.27 
8/27/17,"9,770 ","8,850 ",0 ,"81,742 ","4,290 "," 3,499 ", 0.27 
9/3/17,"4,052 ","1,292 ",817 ,"50,746 ",892 ," 1,002 ", 0.23 
9/10/17,"3,994 ","2,294 ",349 ,0 ,"4,543 "," 1,337 ", 0.23 
9/17/17,"4,599 ","5,548 ",316 ,0 ,"2,257 "," 2,062 ", 0.23 
9/24/17,"2,429 ","3,299 ",451 ,0 ,"4,979 "," 1,359 ", 0.23 
10/1/17,"1,637 ","5,745 ",989 ,"80,042 ","1,317 "," 1,788 ", 0.25 
10/8/17,"1,926 ","6,153 ",0 ,"89,355 ","1,936 "," 1,876 ", 0.25 
10/15/17,"1,239 ","2,917 ",0 ,"77,459 ","1,422 "," 1,027 ", 0.25 
10/22/17,"3,531 ","8,909 ",0 ,"56,186 ","3,960 "," 2,731 ", 0.25 
10/29/17,"3,740 ","3,879 ",0 ,"66,742 ","4,929 "," 1,700 ", 0.26 
11/5/17,"6,214 ","7,073 ",603 ,"17,045 ",821 ," 2,553 ", 0.26 
11/12/17,"7,440 ","4,981 ",599 ,"59,076 ","4,972 "," 2,422 ", 0.26 
11/19/17,"3,502 ","2,758 ",667 ,"74,442 ","3,153 "," 1,375 ", 0.26 
11/26/17,"4,196 ","5,425 ",246 ,"33,891 ","4,166 "," 2,066 ", 0.26 
12/3/17,"4,775 ","3,578 ",734 ,"41,379 ","4,759 "," 1,754 ", 0.24 
12/10/17,"1,013 ","2,129 ",637 ,"12,258 ","2,932 ", 906 , 0.24 
12/17/17,"2,405 ","7,141 ",0 ,0 ,"1,062 "," 2,053 ", 0.24 
12/24/17,"3,708 ","7,911 ",0 ,"30,796 ",991 ," 2,362 ", 0.24 
12/31/17,"4,497 ","6,654 ",0 ,"97,253 ","4,932 "," 2,406 ", 0.28 
1/7/18,"1,124 ","3,173 ",0 ,"90,801 ","1,853 "," 1,051 ", 0.28 
1/14/18,"4,500 ","6,228 ",0 ,"53,942 ",0 ," 2,049 ", 0.28 
1/21/18,"2,327 ","9,177 ",0 ,"27,037 ",0 ," 2,526 ", 0.28 
1/28/18,"8,506 ","1,819 ",451 ,0 ,0 ," 1,542 ", 0.28 
2/4/18,"1,623 ","4,786 ",470 ,0 ,0 ," 1,407 ", 0.24 
2/11/18,"9,937 ","5,836 ",870 ,0 ,0 ," 2,647 ", 0.24 
2/18/18,"2,329 ","2,515 ",531 ,"50,590 ",0 ," 1,041 ", 0.24 
2/25/18,"3,404 ","4,910 ",124 ,"19,773 ","4,394 "," 1,788 ", 0.24 
3/4/18,"8,908 ","5,629 ",130 ,"43,377 ","3,384 "," 2,606 ", 0.26 
3/11/18,"4,658 ","2,682 ",320 ,"28,643 ","4,351 "," 1,469 ", 0.26 
3/18/18,"3,288 ","8,660 ",905 ,"82,330 ","3,855 "," 2,821 ", 0.26 
3/25/18,"5,080 ","7,836 ",661 ,"82,678 ","4,062 "," 2,833 ", 0.26 
4/1/18,"5,127 ","4,215 ",348 ,0 ,"2,923 "," 1,763 ", 0.26 
4/8/18,"1,952 ","8,932 ",434 ,0 ,"3,232 "," 2,506 ", 0.25 
4/15/18,"3,758 ","9,439 ",0 ,0 ,"2,119 "," 2,839 ", 0.25 
4/22/18,"1,376 ","8,112 ",0 ,0 ,870 ," 2,103 ", 0.25 
4/29/18,"1,774 ","2,259 ",0 ,0 ,"4,213 "," 1,005 ", 0.25 
5/6/18,"2,487 ","2,213 ",0 ,0 ,"4,526 "," 1,015 ", 0.25 
